species_name,common_name,region,a,b,wood_density
Abies alba,Silver Fir,temperate,0.0872,2.315,0.4
Abies balsamea,Balsam Fir,boreal,0.0865,2.32,0.38
Abies concolor,White Fir,temperate,0.0891,2.31,0.42
Abies fraseri,Fraser Fir,temperate,0.088,2.318,0.39
Abies grandis,Grand Fir,temperate,0.0902,2.305,0.41
Abies lasiocarpa,Subalpine Fir,boreal,0.0855,2.325,0.37
Abies nordmanniana,Caucasian Fir,temperate,0.0878,2.312,0.4
Abies sibirica,Siberian Fir,boreal,0.0834,2.33,0.4
Acacia auriculiformis,Earleaf Acacia,tropical,0.0521,2.385,0.65
Acacia crassicarpa,Red Wattle,tropical,0.0515,2.39,0.7
Acacia mangium,Mangium,tropical,0.053,2.38,0.6
Acacia mearnsii,Black Wattle,tropical,0.0509,2.397,0.75
Acacia melanoxylon,Blackwood,tropical,0.0525,2.388,0.68
Adansonia digitata,Baobab,tropical,0.048,2.41,0.45
Aextoxicon punctatum,Olivillo,temperate,0.076,2.375,0.7
Agathis australis,Kauri,tropical,0.0705,2.355,0.55
Albizia adianthifolia,Flat-crown,tropical,0.0495,2.4,0.5
Albizia lebbeck,Lebbeck,tropical,0.05,2.395,0.55
Alnus acuminata,Alder,temperate,0.074,2.365,0.45
Alnus glutinosa,Black Alder,temperate,0.0735,2.37,0.42
Alnus incana,Gray Alder,temperate,0.0725,2.375,0.4
Alnus rubra,Red Alder,temperate,0.075,2.375,0.43
Anadenanthera colubrina,Angico,tropical,0.0485,2.405,0.75
Anogeissus leiocarpa,Chewstick,tropical,0.0475,2.415,0.8
Araucaria angustifolia,Parana Pine,temperate,0.082,2.34,0.5
Araucaria araucana,Monkey Puzzle,temperate,0.081,2.345,0.52
Araucaria cunninghamii,Hoop Pine,tropical,0.079,2.35,0.55
Araucaria heterophylla,Norfolk Island Pine,tropical,0.078,2.355,0.53
Araucaria hunsteinii,Klinki Pine,tropical,0.0785,2.352,0.54
Archidendron pauciflorum,Jengkol,tropical,0.049,2.402,0.65
Artocarpus heterophyllus,Jackfruit,tropical,0.047,2.42,0.6
Aspidosperma quebracho-blanco,White Quebracho,temperate,0.071,2.38,0.9
Astronium graveolens,West Indian Elm,tropical,0.0465,2.425,0.7
Avicennia marina,White Mangrove,tropical,0.045,2.435,0.75
Azadirachta indica,Neem,tropical,0.051,2.392,0.65
Balanites aegyptiaca,Desert Date,tropical,0.046,2.43,0.7
Bauhinia variegata,Orchid Tree,tropical,0.048,2.41,0.6
Betula alleghaniensis,Yellow Birch,temperate,0.073,2.372,0.65
Betula lenta,Black Birch,temperate,0.072,2.378,0.62
Betula nigra,River Birch,temperate,0.074,2.368,0.6
Betula papyrifera,Paper Birch,boreal,0.071,2.385,0.6
Betula pendula,Silver Birch,boreal,0.0721,2.34,0.6
Bombax ceiba,Red Silk Cotton,tropical,0.044,2.445,0.35
Brosimum alicastrum,Breadnut,tropical,0.0455,2.432,0.55
Brownea macrophylla,Red Poui,tropical,0.047,2.42,0.7
Buchenavia tetraphylla,Tropical Almond,tropical,0.046,2.43,0.65
Bursera simaruba,Gumbo Limbo,tropical,0.045,2.435,0.5
Caesalpinia echinata,Brazilwood,tropical,0.0445,2.44,0.85
Calophyllum brasiliense,Santa Maria,tropical,0.0435,2.448,0.75
Caryocar brasiliense,Pequi,tropical,0.0425,2.455,0.65
Castanea dentata,American Chestnut,temperate,0.078,2.375,0.55
Castanea sativa,Sweet Chestnut,temperate,0.0789,2.37,0.56
Castanopsis fissa,Chinquapin,temperate,0.077,2.38,0.6
Cedrela odorata,Spanish Cedar,tropical,0.043,2.45,0.45
Ceiba pentandra,Kapok,tropical,0.042,2.46,0.3
Celtis australis,European Nettle Tree,temperate,0.075,2.365,0.6
Celtis occidentalis,Common Hackberry,temperate,0.0745,2.37,0.58
Ceratonia siliqua,Carob,temperate,0.076,2.36,0.8
Cinnamomum camphora,Camphor Tree,temperate,0.073,2.375,0.55
Citharexylum spinosum,Fiddlewood,tropical,0.0465,2.425,0.7
Clusia rosea,Scotch Attorney,tropical,0.0455,2.432,0.75
Cordia alliodora,Laurel,tropical,0.044,2.445,0.5
Cordia dichotoma,Grey Cordia,tropical,0.045,2.435,0.6
Cordia myxa,Assyrian Plum,tropical,0.0445,2.44,0.55
Corylus avellana,Hazelnut,temperate,0.072,2.385,0.6
Cupressus lusitanica,Mexican Cypress,temperate,0.085,2.33,0.45
Cupressus sempervirens,Italian Cypress,temperate,0.084,2.335,0.42
